formula,theoretical
Ca3(SiAs2)2,FALSE
KNaLi2(SO4)2,FALSE
Sb2O5,FALSE
CeInAg2,FALSE
PmPd2Pb,TRUE
EuCuTeF,FALSE
NaMnAsCO7,TRUE
Ba3Sc4,FALSE
Ti2Fe(PO5)2,FALSE
Sr8Mn6Cu4Se4O15,TRUE
Ca4Mn3SbO12,TRUE
PuH2,FALSE
K3Al3OF12,FALSE
Na3AlSi2GeSO12,TRUE
PrEuHfFeO6,TRUE
Na6O,TRUE
CaTeCO5,FALSE
Ba2PrIrO6,FALSE
Na6Ca7Ti(SO4)12,TRUE
Tl2Co3NiSe4,TRUE
Mg6CdW,TRUE
FeSi2N3,TRUE
BaAlGeH,FALSE
CsHgBr3,FALSE
Ca8Mn6Al2O23,TRUE
Na2Ti6Zn2Si3(S3O16)3,TRUE
Na6Mn7Fe6(PO4)12,TRUE
Dy3Ga8Rh3,FALSE
TmGe2,FALSE
LaCo2AsN,FALSE
RbCr5Se8,FALSE
HfMg6Ga,TRUE
NaZrNbSi2SO12,TRUE
Ca2SnS4,FALSE
Co3Mo,FALSE
LaCo(BO2)5,FALSE
Ti3Co5B2,FALSE
LiMn2CoO6,TRUE
Co2Ni3Sb(PO4)6,TRUE
LiCu2P5O16,TRUE
Te4Mo3,FALSE
Li6La3Nb2O12,TRUE
Sr2PrTlCu2O7,TRUE
K4Cd2S4O19,TRUE
La12Ga23MoO56,TRUE
Na4LaHfSi2PO12,TRUE
EuSiPt,FALSE
Al(Ag3S2)3,TRUE
LiDy2Os,TRUE
Rb2TeH6SO10,FALSE
MnS2(NO7)2,FALSE
TaTiMn2,TRUE
Co5(SiN3)2,TRUE
NaY3F10,TRUE
KBe2B3O7,FALSE
InH12C4Se2Cl3,FALSE
Sr4SnPbO8,TRUE
MgP4(Cl5O3)2,FALSE
Hf3AlN,FALSE
Pr2SbAu3,TRUE
Sm3Co4Ge13,FALSE
Nb4Te9I4O,FALSE
IrPt(NCl)5,TRUE
Na6Si2Se7,FALSE
RbTlO3,TRUE
H8CN6,FALSE
MnTlF4,FALSE
Mg2CdSn,TRUE
MgMn2(BO3)2,TRUE
CaMg30BiO32,TRUE
Rb2AgSbBr6,TRUE
YbGaRh2,TRUE
Na4Mg2Al2SiS5O24,TRUE
YbTmZn2,TRUE
Mg14SnCO16,TRUE
DyBi2ClO4,FALSE
CdH2(CO2)2,FALSE
K5NaFe2(CO2)12,FALSE
H8CIN5O3,FALSE
SmTl3,FALSE
SrPd,FALSE
Na3H7Ru,FALSE
SrMg14Al,TRUE
BaCu3O4,FALSE
Ca2ZnP2(H2O5)2,TRUE
Rb7SmFe6(P4O17)2,FALSE
TaV(Cu3Se4)2,TRUE
InReGe,TRUE
H13C2Cl2O8F,FALSE
NdPaO4,TRUE
Li7V4(CO3)10,TRUE
BaPr2Sc2O7,FALSE
PrPb3,FALSE
CaMnBiO5,TRUE
Li17Nb18O54,TRUE
Y3NbSiS5O24,TRUE
UGeI6,TRUE
Ag5SbS4,FALSE
TcH2NO2,TRUE
FeH10N2OF5,FALSE
Li2CrS3,TRUE
LiLuF2,TRUE
Er2HfS5,FALSE
Ti(PO3)4,TRUE
NpCdAu2,TRUE
ScZn3,TRUE
FeS2NO20,TRUE
BaSrYCu3PbO7,TRUE
K3AlF6,FALSE
GaSi3,TRUE
KNa2AsF6,TRUE
NiOsN2,TRUE
Rb(WCl3)3,TRUE
PdC4(Br2N)2,FALSE
Li3Mn2O4,TRUE
Rb8NO3,TRUE
ErZnRh,TRUE
K4HfO4,TRUE
GaAgSnSe4,TRUE
K3B6ClO10,FALSE
SmFe3(BO3)4,FALSE
SbPt7,FALSE
Rb3AlF6,TRUE
Li3V6O16,TRUE
Na8Ti2Ga2Si5SO24,TRUE
Pr2TiO5,FALSE
Li4TiNi5(PO4)6,TRUE
Ho5(In2Pd)2,FALSE
Na9Zr8Si4(PO6)8,TRUE
MgCr4(PO4)4,TRUE
Ga3(Ni10B3)2,FALSE
CeAgAu2,TRUE
Na2MgGaP(SO6)2,TRUE
Cs2InCl5O,FALSE
Li2Co3NiO8,TRUE
Ca2VP3O11,FALSE
Ba4Gd2Cd3S10,FALSE
LiEr2Tl,TRUE
Pa2BiTe,TRUE
Pu3I,TRUE
NiAs,FALSE
Cs3ReO5,TRUE
NaNdHf2O6,TRUE
Mg2PtAu,TRUE
Mn7Pd9,TRUE
Cu3H4SeO8,TRUE
Rb2InSbF6,TRUE
HoMoC2,FALSE
Ba5(SiN3)2,FALSE
Ba4Ga22Sn,TRUE
BaSrEuCu3O7,TRUE
In3SnAu12,TRUE
Li2AgSn2,FALSE
Na2SrVP2O9,FALSE
NaFe9Si6B3H3O31,TRUE
Sm2SCl4,FALSE
Li8Bi2(MoO4)7,FALSE
NbVO5,TRUE
Ce(CuGe)2,FALSE
SrAl3P2(HO2)7,TRUE
NaCa2Ta3O10,TRUE
Ba(SnSe)32,TRUE
Na6ZnSi2Sn3(PO6)4,TRUE
FeO2F,TRUE
ErTh,TRUE
In2Se,FALSE
BaSm5Al3Si9N20O,TRUE
MgTi8(NiO3)8,TRUE
SrHg,FALSE
As4INO6,FALSE
Tl6S,TRUE
Cs12Nb(In2As3)3,FALSE
